name,mood,description,latitude,longitude,vehicle,rating,opening_hours
Mathillo Bhirsing,Calm,Popular calm tourist destination in Nepal.,28.14786,84.6155,Walk/Taxi/Car,4.5,24 Hours
Manakamana Temple,Spiritual,Popular spiritual tourist destination in Nepal.,27.9051,84.58931,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gurunggaun,Calm,Popular calm tourist destination in Nepal.,27.9449,84.70171,Walk/Taxi/Car,4.5,24 Hours
Mathillo Swanra,Calm,Popular calm tourist destination in Nepal.,28.03185,84.61413,Walk/Taxi/Car,4.5,24 Hours
Kalika Temple,Spiritual,Popular spiritual tourist destination in Nepal.,28.0059,84.63317,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ekle,Calm,Popular calm tourist destination in Nepal.,28.10324,84.71301,Walk/Taxi/Car,4.5,24 Hours
Mathillo Thotneri,Calm,Popular calm tourist destination in Nepal.,28.13406,84.74366,Walk/Taxi/Car,4.5,24 Hours
Bhumethan Temple,Spiritual,Popular spiritual tourist destination in Nepal.,28.14715,84.68091,Walk/Taxi/Car,4.5,24 Hours
Mathillo Masar,Calm,Popular calm tourist destination in Nepal.,28.07794,84.66917,Walk/Taxi/Car,4.5,24 Hours
Mathillo Japhdi,Calm,Popular calm tourist destination in Nepal.,28.09826,84.67666,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhade,Calm,Popular calm tourist destination in Nepal.,28.09366,83.25824,Walk/Taxi/Car,4.5,24 Hours
Hulake,Calm,Popular calm tourist destination in Nepal.,28.12369,83.19461,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ratamate,Calm,Popular calm tourist destination in Nepal.,28.08716,83.301,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kalpe,Calm,Popular calm tourist destination in Nepal.,29.76867,82.01855,Walk/Taxi/Car,4.5,24 Hours
Mathillo Mekhala,Calm,Popular calm tourist destination in Nepal.,29.76515,82.11146,Walk/Taxi/Car,4.5,24 Hours
Mathillo Pali,Calm,Popular calm tourist destination in Nepal.,29.77528,82.07218,Walk/Taxi/Car,4.5,24 Hours
Mathillogaun,Calm,Popular calm tourist destination in Nepal.,29.97606,81.81927,Walk/Taxi/Car,4.5,24 Hours
Mathillo Patapur,Calm,Popular calm tourist destination in Nepal.,26.78794,88.17456,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ratmate,Calm,Popular calm tourist destination in Nepal.,28.35577,83.35935,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhaluke,Calm,Popular calm tourist destination in Nepal.,28.94188,81.95233,Walk/Taxi/Car,4.5,24 Hours
Bahunparka,Calm,Popular calm tourist destination in Nepal.,28.76249,81.95129,Walk/Taxi/Car,4.5,24 Hours
Refugee Camp,Adventure,Popular adventure tourist destination in Nepal.,26.72365,87.70289,Walk/Taxi/Car,4.5,24 Hours
Refugee Camp,Adventure,Popular adventure tourist destination in Nepal.,26.71303,87.69969,Walk/Taxi/Car,4.5,24 Hours
Refugee Camp,Adventure,Popular adventure tourist destination in Nepal.,26.71962,87.69145,Walk/Taxi/Car,4.5,24 Hours
Mathillo Tarabari,Calm,Popular calm tourist destination in Nepal.,26.68672,87.65912,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhuteni,Calm,Popular calm tourist destination in Nepal.,26.5858,87.99232,Walk/Taxi/Car,4.5,24 Hours
Campus,Adventure,Popular adventure tourist destination in Nepal.,26.55971,87.71929,Walk/Taxi/Car,4.5,24 Hours
Mathillo Chilhara,Calm,Popular calm tourist destination in Nepal.,26.4651,87.68536,Walk/Taxi/Car,4.5,24 Hours
Refugee Camp,Adventure,Popular adventure tourist destination in Nepal.,26.71204,87.96401,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bandre,Calm,Popular calm tourist destination in Nepal.,28.30064,83.57706,Walk/Taxi/Car,4.5,24 Hours
Mathillo Padajungi,Calm,Popular calm tourist destination in Nepal.,26.66472,87.72091,Walk/Taxi/Car,4.5,24 Hours
Chillagadh,Calm,Popular calm tourist destination in Nepal.,26.63233,87.85651,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lorpa,Calm,Popular calm tourist destination in Nepal.,29.32481,82.26173,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ghede,Calm,Popular calm tourist destination in Nepal.,29.19212,81.95671,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dolaghat,Calm,Popular calm tourist destination in Nepal.,29.18675,82.4536,Walk/Taxi/Car,4.5,24 Hours
Piparkoti,Calm,Popular calm tourist destination in Nepal.,28.65894,81.09944,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhawar,Calm,Popular calm tourist destination in Nepal.,28.92669,80.57792,Walk/Taxi/Car,4.5,24 Hours
Piparkoti,Calm,Popular calm tourist destination in Nepal.,28.52079,81.02675,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhatkuri,Calm,Popular calm tourist destination in Nepal.,28.77338,81.14965,Walk/Taxi/Car,4.5,24 Hours
Mathillo Godan,Calm,Popular calm tourist destination in Nepal.,28.74937,81.13846,Walk/Taxi/Car,4.5,24 Hours
Mathillo Talseri,Calm,Popular calm tourist destination in Nepal.,29.41001,81.80691,Walk/Taxi/Car,4.5,24 Hours
Campus,Adventure,Popular adventure tourist destination in Nepal.,28.22126,83.65011,Walk/Taxi/Car,4.5,24 Hours
Kaluwapur (Aghillopatti),Calm,Popular calm tourist destination in Nepal.,28.78781,80.52685,Walk/Taxi/Car,4.5,24 Hours
Mathillo Jhilmila,Calm,Popular calm tourist destination in Nepal.,28.78937,80.23478,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gauji,Calm,Popular calm tourist destination in Nepal.,28.99844,80.22196,Walk/Taxi/Car,4.5,24 Hours
Mathillo Gauji,Calm,Popular calm tourist destination in Nepal.,29.00401,80.22301,Walk/Taxi/Car,4.5,24 Hours
Phaparkhet,Calm,Popular calm tourist destination in Nepal.,28.21349,83.38344,Walk/Taxi/Car,4.5,24 Hours
Mathillo Puditar,Calm,Popular calm tourist destination in Nepal.,28.10417,84.06385,Walk/Taxi/Car,4.5,24 Hours
Annapurna Base Camp,Adventure,Popular adventure tourist destination in Nepal.,28.53082,83.88072,Walk/Taxi/Car,4.5,24 Hours
Machhapuchchhre Base Camp,Adventure,Popular adventure tourist destination in Nepal.,28.52677,83.89805,Walk/Taxi/Car,4.5,24 Hours
Tibbetian Camp,Adventure,Popular adventure tourist destination in Nepal.,28.26225,83.95595,Walk/Taxi/Car,4.5,24 Hours
Phaparkhet,Calm,Popular calm tourist destination in Nepal.,28.27362,83.47521,Walk/Taxi/Car,4.5,24 Hours
Piparkharka,Calm,Popular calm tourist destination in Nepal.,28.41246,83.95829,Walk/Taxi/Car,4.5,24 Hours
Parkyu,Calm,Popular calm tourist destination in Nepal.,28.27083,84.18338,Walk/Taxi/Car,4.5,24 Hours
Temple,Spiritual,Popular spiritual tourist destination in Nepal.,28.20827,83.95422,Walk/Taxi/Car,4.5,24 Hours
Ratna Mandir Palace,Happy,Popular happy tourist destination in Nepal.,28.2071,83.96138,Walk/Taxi/Car,4.5,24 Hours
Basundhara Park,Calm,Popular calm tourist destination in Nepal.,28.20424,83.96672,Walk/Taxi/Car,4.5,24 Hours
Penson Camp,Adventure,Popular adventure tourist destination in Nepal.,28.20013,83.99754,Walk/Taxi/Car,4.5,24 Hours
Museum,Happy,Popular happy tourist destination in Nepal.,28.19026,83.98293,Walk/Taxi/Car,4.5,24 Hours
Tibetain Refugee Camp,Adventure,Popular adventure tourist destination in Nepal.,28.18872,83.96205,Walk/Taxi/Car,4.5,24 Hours
Engineering Campus,Adventure,Popular adventure tourist destination in Nepal.,28.25368,83.97868,Walk/Taxi/Car,4.5,24 Hours
Bhadrakali temple,Spiritual,Popular spiritual tourist destination in Nepal.,28.21423,84.00981,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sunpani,Calm,Popular calm tourist destination in Nepal.,28.25544,83.35876,Walk/Taxi/Car,4.5,24 Hours
Parkyu,Calm,Popular calm tourist destination in Nepal.,28.31113,83.9853,Walk/Taxi/Car,4.5,24 Hours
MathilloBharpola,Calm,Popular calm tourist destination in Nepal.,28.16697,84.15166,Walk/Taxi/Car,4.5,24 Hours
MathilloKeurani,Calm,Popular calm tourist destination in Nepal.,28.23312,84.1037,Walk/Taxi/Car,4.5,24 Hours
Narayanhiti Royal Palace,Happy,Popular happy tourist destination in Nepal.,27.71738,85.31971,Walk/Taxi/Car,4.5,24 Hours
Ratnapark,Calm,Popular calm tourist destination in Nepal.,27.7075,85.31549,Walk/Taxi/Car,4.5,24 Hours
Hilledol,Calm,Popular calm tourist destination in Nepal.,27.74536,85.31269,Walk/Taxi/Car,4.5,24 Hours
Mathillogaun,Calm,Popular calm tourist destination in Nepal.,27.49907,85.44992,Walk/Taxi/Car,4.5,24 Hours
Parkhalchaur,Calm,Popular calm tourist destination in Nepal.,27.59848,85.45898,Walk/Taxi/Car,4.5,24 Hours
Pheparku,Calm,Popular calm tourist destination in Nepal.,27.34806,86.77857,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dihu,Calm,Popular calm tourist destination in Nepal.,27.1031,86.84231,Walk/Taxi/Car,4.5,24 Hours
Tilake,Calm,Popular calm tourist destination in Nepal.,27.02181,86.89113,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dikuwa,Calm,Popular calm tourist destination in Nepal.,27.11901,86.49559,Walk/Taxi/Car,4.5,24 Hours
Mathillo Salle,Calm,Popular calm tourist destination in Nepal.,27.34564,86.70527,Walk/Taxi/Car,4.5,24 Hours
Mathillo Mabe,Calm,Popular calm tourist destination in Nepal.,27.03019,86.77647,Walk/Taxi/Car,4.5,24 Hours
Mathillo Majhuwa,Calm,Popular calm tourist destination in Nepal.,27.02781,86.79846,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lichki,Calm,Popular calm tourist destination in Nepal.,27.02379,86.78978,Walk/Taxi/Car,4.5,24 Hours
Barre Mathillo,Calm,Popular calm tourist destination in Nepal.,27.04042,86.81793,Walk/Taxi/Car,4.5,24 Hours
Mathillo Asrang,Calm,Popular calm tourist destination in Nepal.,27.46275,85.32484,Walk/Taxi/Car,4.5,24 Hours
Mathillo Burangchule,Calm,Popular calm tourist destination in Nepal.,27.5626,85.29709,Walk/Taxi/Car,4.5,24 Hours
Sanu Chille,Calm,Popular calm tourist destination in Nepal.,27.48599,85.32089,Walk/Taxi/Car,4.5,24 Hours
Thulo Chille,Calm,Popular calm tourist destination in Nepal.,27.48248,85.32241,Walk/Taxi/Car,4.5,24 Hours
Chillethumka,Calm,Popular calm tourist destination in Nepal.,27.48697,85.32791,Walk/Taxi/Car,4.5,24 Hours
Mathillo Malta,Calm,Popular calm tourist destination in Nepal.,27.50581,85.25958,Walk/Taxi/Car,4.5,24 Hours
Mathillo Matiul,Calm,Popular calm tourist destination in Nepal.,29.42631,80.34625,Walk/Taxi/Car,4.5,24 Hours
Chillepani,Calm,Popular calm tourist destination in Nepal.,29.51257,80.51718,Walk/Taxi/Car,4.5,24 Hours
Chillepani,Calm,Popular calm tourist destination in Nepal.,29.50869,80.50851,Walk/Taxi/Car,4.5,24 Hours
Chillebas,Calm,Popular calm tourist destination in Nepal.,27.45294,85.09178,Walk/Taxi/Car,4.5,24 Hours
Mathillo Supin,Calm,Popular calm tourist destination in Nepal.,27.52375,85.13948,Walk/Taxi/Car,4.5,24 Hours
Mathillo Pauwa,Calm,Popular calm tourist destination in Nepal.,27.66079,85.18279,Walk/Taxi/Car,4.5,24 Hours
Mathillo Asuro,Calm,Popular calm tourist destination in Nepal.,29.38987,80.39059,Walk/Taxi/Car,4.5,24 Hours
Mathillo Anpgairi,Calm,Popular calm tourist destination in Nepal.,27.24337,85.31111,Walk/Taxi/Car,4.5,24 Hours
Mathillo Simle,Calm,Popular calm tourist destination in Nepal.,27.35016,85.31177,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhuwanchuli,Calm,Popular calm tourist destination in Nepal.,27.34518,85.28636,Walk/Taxi/Car,4.5,24 Hours
Mathillo Ranidanda,Calm,Popular calm tourist destination in Nepal.,27.41301,85.20046,Walk/Taxi/Car,4.5,24 Hours
Mathillo Sisne,Calm,Popular calm tourist destination in Nepal.,27.43787,85.2938,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bhirkot,Calm,Popular calm tourist destination in Nepal.,27.34797,85.24033,Walk/Taxi/Car,4.5,24 Hours
Mathillo Karkidanda,Calm,Popular calm tourist destination in Nepal.,27.44508,85.15338,Walk/Taxi/Car,4.5,24 Hours
Mathillo Simat,Calm,Popular calm tourist destination in Nepal.,27.42522,85.23423,Walk/Taxi/Car,4.5,24 Hours
Mathillo Pipaldanda,Calm,Popular calm tourist destination in Nepal.,27.39673,85.23902,Walk/Taxi/Car,4.5,24 Hours
Mountaineering School,Adventure,Popular adventure tourist destination in Nepal.,28.6438,84.07005,Walk/Taxi/Car,4.5,24 Hours
Milerpa Cave,Happy,Popular happy tourist destination in Nepal.,28.64234,84.04408,Walk/Taxi/Car,4.5,24 Hours
Tilicho Base Camp,Adventure,Popular adventure tourist destination in Nepal.,28.68165,83.89856,Walk/Taxi/Car,4.5,24 Hours
Mathillo Dharapanee,Calm,Popular calm tourist destination in Nepal.,28.52612,84.35595,Walk/Taxi/Car,4.5,24 Hours
Base Camp (High Camp),Adventure,Popular adventure tourist destination in Nepal.,28.7895,83.95853,Walk/Taxi/Car,4.5,24 Hours
Mathillo Harakpur,Calm,Popular calm tourist destination in Nepal.,26.56702,87.51511,Walk/Taxi/Car,4.5,24 Hours
Mathillo Harakpur,Calm,Popular calm tourist destination in Nepal.,26.57664,87.51342,Walk/Taxi/Car,4.5,24 Hours
Mathillo Mainabari,Calm,Popular calm tourist destination in Nepal.,26.64444,87.41194,Walk/Taxi/Car,4.5,24 Hours
Mathillo Lalbhitti,Calm,Popular calm tourist destination in Nepal.,26.67082,87.40999,Walk/Taxi/Car,4.5,24 Hours
Mathillo Balepur,Calm,Popular calm tourist destination in Nepal.,26.645,87.38911,Walk/Taxi/Car,4.5,24 Hours
Mathillo Jogichaur,Calm,Popular calm tourist destination in Nepal.,26.65066,87.38236,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kaseni,Calm,Popular calm tourist destination in Nepal.,26.60573,87.3953,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kheruwa,Calm,Popular calm tourist destination in Nepal.,26.7603,87.51688,Walk/Taxi/Car,4.5,24 Hours
Mathillo Kheruwa,Calm,Popular calm tourist destination in Nepal.,26.74492,87.51288,Walk/Taxi/Car,4.5,24 Hours
Mathillo Pangre Jhalas,Calm,Popular calm tourist destination in Nepal.,26.61007,87.58854,Walk/Taxi/Car,4.5,24 Hours
Mathillo Bumcha,Calm,Popular calm tourist destination in Nepal.,29.61858,82.02335,Walk/Taxi/Car,4.5,24 Hours
Mathillo Tum,Calm,Popular calm tourist destination in Nepal.,29.5456,82.13314,Walk/Taxi/Car,4.5,24 Hours
